Date,Min,MinCorrect,Average,AverageCorrect,Max,MaxCorrect
18820111,-1.8,0,-0.4,0,,9
18820112,-6.9,0,-3.6,0,,9
18820113,-15.1,0,-12.5,0,,9
18820114,-13.7,0,-1.9,0,,9
18820115,-2.2,0,-0.8,0,,9
18820116,-4.3,0,-1.2,0,,9
18820117,-5.0,0,-1.6,0,,9
18820118,0.4,0,1.3,0,,9
18820119,-1.3,0,-0.5,0,,9
18820120,0.6,0,1.5,0,,9
18820121,-1.2,0,0.5,0,,9
18820122,-3.2,0,-2.2,0,,9
18820123,-3.5,0,0.2,0,,9
18820124,-4.9,0,-1.9,0,,9
18820125,-5.6,0,-2.5,0,,9
18820126,0.9,0,3.5,0,,9
18820127,-1.2,0,0.3,0,,9
18820128,0.3,0,1.1,0,,9
18820129,-5.7,0,-0.4,0,,9
18820130,-10.0,0,-8.3,0,,9
18820131,-11.5,0,-9.7,0,,9
18820201,-9.5,0,-4.8,0,,9
18820202,-5.9,0,-2.2,0,,9
18820203,-3.5,0,-1.0,0,,9
18820204,-4.3,0,0.1,0,,9
18820205,-4.4,0,-0.9,0,,9
18820206,-9.4,0,-5.7,0,,9
18820207,-16.7,0,-15.2,0,,9
18820208,-17.5,0,-15.1,0,,9
18820209,-16.3,0,-8.4,0,,9
18820210,-4.8,0,-3.0,0,,9
18820211,-7.0,0,0.0,0,,9
18820212,-0.6,0,0.1,0,,9
18820213,-0.4,0,0.4,0,,9
18820214,-1.5,0,2.9,0,,9
18820215,-1.4,0,0.3,0,,9
18820216,-5.8,0,-1.8,0,,9
18820217,-9.5,0,-5.8,0,,9
18820218,-8.4,0,-6.2,0,,9
18820219,-12.7,0,-7.8,0,,9
18820220,-7.1,0,-4.9,0,,9
18820221,-12.0,0,-8.5,0,,9
18820222,-11.1,0,-9.5,0,,9
18820223,-9.2,0,-3.1,0,,9
18820224,-12.4,0,-10.1,0,,9
18820225,-16.0,0,-8.1,0,,9
18820226,-4.0,0,3.5,0,,9
18820227,3.6,0,4.9,0,,9
18820228,3.0,0,3.6,0,,9
18820301,-5.5,0,-4.3,0,,9
18820302,-9.2,0,-4.7,0,,9
18820303,-7.7,0,-5.1,0,,9
18820304,-7.7,0,-6.2,0,,9
18820305,-10.0,0,-4.9,0,,9
18820306,-3.1,0,3.1,0,,9
18820307,-3.7,0,-1.3,0,,9
18820308,-6.4,0,-4.8,0,,9
18820309,-5.0,0,-2.7,0,,9
18820310,-3.9,0,-0.1,0,,9
18820311,-4.6,0,-2.0,0,,9
18820312,-6.2,0,-1.6,0,,9
18820313,-3.9,0,0.3,0,,9
18820314,-3.7,0,1.0,0,,9
18820315,1.2,0,2.8,0,,9
18820316,-0.8,0,2.1,0,,9
18820317,-5.5,0,-3.8,0,,9
18820318,-7.4,0,-5.3,0,,9
18820319,-10.6,0,-6.3,0,,9
18820320,-6.2,0,-0.3,0,,9
18820321,0.0,0,5.6,0,,9
18820322,4.0,0,5.5,0,,9
18820323,0.0,0,1.3,0,,9
18820324,0.0,0,1.5,0,,9
18820325,-0.1,0,2.4,0,,9
18820326,1.1,0,3.9,0,,9
18820327,0.3,0,3.5,0,,9
18820328,3.4,0,6.5,0,,9
18820329,2.9,0,4.9,0,,9
18820330,1.5,0,4.1,0,,9
18820331,-1.4,0,2.6,0,,9
18820401,0.0,0,3.2,0,,9
18820402,-1.0,0,2.3,0,,9
18820403,-0.4,0,2.8,0,,9
18820404,-3.1,0,-1.6,0,,9
18820405,-5.8,0,-2.0,0,,9
18820406,-3.5,0,2.3,0,,9
18820407,-1.1,0,3.6,0,,9
18820408,0.0,0,3.9,0,,9
18820409,-1.4,0,3.4,0,,9
18820410,-2.4,0,2.9,0,,9
18820411,-2.3,0,-0.4,0,,9
18820412,-3.5,0,0.0,0,,9
18820413,-3.1,0,-1.3,0,,9
18820414,-3.7,0,-0.7,0,,9
18820415,-4.7,0,0.9,0,,9
18820416,0.0,0,4.0,0,,9
18820417,-0.6,0,2.4,0,,9
18820418,-2.2,0,-0.4,0,,9
18820419,-3.1,0,0.3,0,,9
18820420,-2.8,0,5.9,0,,9
18820421,1.7,0,5.4,0,,9
18820422,0.6,0,4.9,0,,9
18820423,-1.7,0,1.3,0,,9
18820424,-3.1,0,3.9,0,,9
18820425,3.3,0,10.1,0,,9
18820426,5.8,0,7.6,0,,9
18820427,4.8,0,12.4,0,,9
18820428,6.6,0,10.6,0,,9
18820429,4.3,0,11.7,0,,9
18820430,6.0,0,16.3,0,,9
18820501,6.8,0,9.7,0,,9
18820502,3.8,0,11.1,0,,9
18820503,3.4,0,8.3,0,,9
18820504,3.2,0,9.2,0,,9
18820505,2.4,0,14.1,0,,9
18820506,8.4,0,12.8,0,,9
18820507,0.2,0,9.0,0,,9
18820508,4.0,0,5.7,0,,9
18820509,0.6,0,5.5,0,,9
18820510,2.6,0,5.6,0,,9
18820511,1.2,0,4.3,0,,9
18820512,0.4,0,5.4,0,,9
18820513,2.9,0,7.0,0,,9
18820514,2.2,0,8.6,0,,9
18820515,3.7,0,4.5,0,,9
18820516,2.0,0,5.6,0,,9
18820517,1.6,0,4.9,0,,9
18820518,0.9,0,4.8,0,,9
18820519,1.6,0,9.5,0,,9
18820520,4.8,0,13.4,0,,9
18820521,6.1,0,15.0,0,,9
18820522,6.4,0,12.4,0,,9
18820523,8.3,0,16.4,0,,9
18820524,11.4,0,17.4,0,,9
18820525,14.7,0,18.8,0,,9
18820526,14.4,0,22.3,0,,9
18820527,13.6,0,15.1,0,,9
18820528,11.5,0,16.1,0,,9
18820529,11.8,0,16.0,0,,9
18820530,10.2,0,16.1,0,,9
18820531,7.0,0,11.2,0,,9
18820601,3.8,0,6.1,0,,9
18820602,1.8,0,6.6,0,,9
18820603,2.9,0,11.0,0,,9
18820604,6.6,0,12.7,0,,9
18820605,8.0,0,13.7,0,,9
18820606,6.9,0,16.5,0,,9
18820607,11.6,0,16.4,0,,9
18820608,13.2,0,17.9,0,,9
18820609,11.4,0,14.5,0,,9
18820610,10.2,0,17.6,0,,9
18820611,13.0,0,17.1,0,,9
18820612,11.5,0,14.5,0,,9
18820613,10.2,0,13.7,0,,9
18820614,8.3,0,13.0,0,,9
18820615,8.4,0,12.6,0,,9
18820616,10.1,0,12.4,0,,9
18820617,9.4,0,14.0,0,,9
18820618,8.5,0,12.5,0,,9
18820619,9.0,0,14.3,0,,9
18820620,8.2,0,16.9,0,,9
18820621,10.9,0,19.1,0,,9
18820622,14.3,0,18.7,0,,9
18820623,11.8,0,17.8,0,,9
18820624,9.6,0,19.6,0,,9
18820625,15.4,0,22.8,0,,9
18820626,14.2,0,23.7,0,,9
18820627,16.6,0,21.5,0,,9
18820628,11.6,0,17.0,0,,9
18820629,7.5,0,9.9,0,,9
18820630,7.2,0,11.6,0,,9
18820701,10.0,0,15.6,0,,9
18820702,12.0,0,16.1,0,,9
18820703,12.4,0,16.8,0,,9
18820704,13.2,0,18.5,0,,9
18820705,9.3,0,12.9,0,,9
18820706,9.2,0,12.0,0,,9
18820707,6.0,0,11.7,0,,9
18820708,9.1,0,12.3,0,,9
18820709,12.5,0,16.3,0,,9
18820710,12.0,0,17.5,0,,9
18820711,15.0,0,19.2,0,,9
18820712,13.4,0,14.3,0,,9
18820713,12.1,0,19.0,0,,9
18820714,14.9,0,17.8,0,,9
18820715,11.7,0,18.8,0,,9
18820716,13.7,0,22.6,0,,9
18820717,17.3,0,23.1,0,,9
18820718,17.2,0,27.4,0,,9
18820719,20.1,0,24.9,0,,9
18820720,16.1,0,20.6,0,,9
18820721,14.8,0,21.4,0,,9
18820722,14.6,0,21.5,0,,9
18820723,17.9,0,24.5,0,,9
18820724,18.3,0,20.2,0,,9
18820725,16.6,0,24.2,0,,9
18820726,19.5,0,24.3,0,,9
18820727,16.6,0,19.8,0,,9
18820728,13.4,0,17.4,0,,9
18820729,12.0,0,18.5,0,,9
18820730,13.8,0,21.2,0,,9
18820731,16.3,0,24.5,0,,9
18820801,19.4,0,23.3,0,,9
18820802,16.8,0,19.9,0,,9
18820803,10.8,0,19.1,0,,9
18820804,14.4,0,20.7,0,,9
18820805,15.9,0,18.2,0,,9
18820806,14.4,0,16.8,0,,9
18820807,17.6,0,21.4,0,,9
18820808,17.5,0,22.4,0,,9
18820809,16.5,0,19.7,0,,9
18820810,13.2,0,19.4,0,,9
18820811,15.8,0,20.0,0,,9
18820812,15.4,0,19.4,0,,9
18820813,12.0,0,18.9,0,,9
18820814,16.8,0,20.9,0,,9
18820815,13.3,0,22.8,0,,9
18820816,15.4,0,23.0,0,,9
18820817,15.7,0,22.1,0,,9
18820818,16.8,0,22.7,0,,9
18820819,14.8,0,22.0,0,,9
18820820,15.9,0,21.9,0,,9
18820821,16.6,0,20.6,0,,9
18820822,16.6,0,17.8,0,,9
18820823,14.1,0,17.7,0,,9
18820824,13.4,0,16.8,0,,9
18820825,11.6,0,15.9,0,,9
18820826,12.1,0,15.4,0,,9
18820827,11.0,0,14.6,0,,9
18820828,13.4,0,18.0,0,,9
18820829,14.4,0,15.4,0,,9
18820830,11.3,0,15.5,0,,9
18820831,12.6,0,14.1,0,,9
18820901,10.4,0,12.3,0,,9
18820902,8.6,0,12.7,0,,9
18820903,12.0,0,16.7,0,,9
18820904,13.0,0,17.2,0,,9
18820905,14.4,0,15.5,0,,9
18820906,12.5,0,14.3,0,,9
18820907,11.6,0,15.3,0,,9
18820908,8.8,0,15.4,0,,9
18820909,12.6,0,14.7,0,,9
18820910,8.2,0,12.1,0,,9
18820911,4.9,0,12.4,0,,9
18820912,6.0,0,11.8,0,,9
18820913,10.5,0,15.1,0,,9
18820914,11.4,0,15.4,0,,9
18820915,8.8,0,14.7,0,,9
18820916,10.2,0,16.6,0,,9
18820917,9.7,0,15.6,0,,9
18820918,8.6,0,14.8,0,,9
18820919,6.9,0,14.1,0,,9
18820920,8.2,0,10.1,0,,9
18820921,5.2,0,9.1,0,,9
18820922,4.4,0,8.8,0,,9
18820923,3.0,0,5.7,0,,9
18820924,-0.8,0,3.1,0,,9
18820925,2.4,0,7.9,0,,9
18820926,5.2,0,8.3,0,,9
18820927,2.2,0,8.5,0,,9
18820928,2.6,0,8.2,0,,9
18820929,8.1,0,10.7,0,,9
18820930,6.0,0,10.1,0,,9
18821001,4.8,0,9.7,0,,9
